"book_id","title","author","genre","price"
"83","The Copycat","Charlotte Barnes","Fiction","8.99"
"84","The Islanders","S. V. Leonard","Fiction","5.99"
"85","Pray for Mercy","D.K. Hood","Fiction","4.99"
"86","Lillys Vine","Urcelia Teixeira","Fiction","6.99"
"87","The Perfect Lie (A Jessie Hunt Psychological Suspense ThrillerBook Five)","Blake Pierce","Fiction","5.99"
"88","Shadow Image","Martin J. Smith","Fiction","1.99"
"89","Before He Sees (A Mackenzie White MysteryBook 2)","Blake Pierce","Fiction","3.99"
"90","Younger by the Day","Victoria Moran","Health & Fitness","6.99"
"91","The ORuddy A Romance","Stephen Crane","Fiction","4.15"
"92","Make Time For Love (Forward in Time, Book One)","Louise Clark","Fiction","3.99"
"93","Beautiful Collision - A Single Mom Enemies to Lovers Romance Book","A. M. Kusi","Fiction","3.99"
"94","Untamed Passion","Cat Schield","Fiction","0.99"
"95","The Rocky Road to Romance","Janet Evanovich","Fiction","7.49"
"96","Beloved Warrior (Authors Cut Edition)","Phoebe Conn","Fiction","3.99"
"97","A Reputation For Revenge","Jennie Lucas","Fiction","4.99"
"98","Thinking About Starting a Business?","Gary Thomas","Business & Economics","3.99"
"99","Business Models and Modelling","Charles Baden-Fuller","Business & Economics","224.99"
"100","HBRs 10 Must Reads on Strategy, Vol. 2 (with bonus article Creating Shared Value By Michael E. Porter and Mark R. Kramer)","Harvard Business Review","Business & Economics","24.99"
"101","Family Businesses in the Arab World","Sami Basly","Business & Economics","129.0"
"102","Growing Pains","Eric G. Flamholtz","Business & Economics","48.0"
"103","Data Science Fundamentals and Practical Approaches","Nandi Dr. Rupam Dr. Gypsy","Language Arts & Disciplines","9.95"
"104","Blue Ocean Leadership (Harvard Business Review Classics)","W. Chan Kim","Business & Economics","9.99"
"105","Revisiting the Propriety of a Joint Venture Statute","Michael Ukponu","Law","17.26"
"106","How to Help Yourself With Self-Help","Martin Meadows","Self-Help","5.18"
"107","Theory of Social Constructivism. The United Nations Security Council in Libya","Christian Graf","Political Science","15.18"
"108","Biographies in the History of Physics","Christian Forstner","Science","189.0"
"109","The Book of Awesome Black Americans","Monique Jones","Young Adult Nonfiction","9.99"
"110","Apache Spark Graph Processing","Rindra Ramamonjison","Computers","29.99"
"111","Encyclopedia of Great Popular Song Recordings","Steve Sullivan","Music","230.5"
"112","Post-Keynesian Essays from Down Under Volume III: Essays on Ethics, Social Justice and Economics","G. Harcourt","Business & Economics","99.0"
"113","Research in Landscape Architecture","Adri van den Brink","Architecture","72.99"
"114","1 -","Saral Study Group","Fiction","0.49"
"115","The Oxford Companion to English Literature","Dinah Birch","Literary Criticism","75.59"
"116","Derrida","Benot Peeters","Philosophy","31.0"
"117","The History of Somalia","Raphael Chijioke Njoku","History","63.0"
"118","New Directions in Queer Oral History","Clare Summerskill","History","54.99"
"119","History by HBO","Rebecca Weeks","Performing Arts","35.0"
"120","The Practice of History in India","Anirudh Deshpande","History","56.99"
"121","Philosophy of the History of Philosophy","Nathaniel Goldberg","Philosophy","103.5"
"122","Contemporary history on trial","Harriet Jones","History","44.95"
"123","Corsets 1810-1830 History Notes Book 17","Suzi Love","History","4.99"
"124","Addressing Special Educational Needs and Disability in the Curriculum: History","Richard Harris","Education","54.99"
"125","Comprehensive Modern Indian History: From 1707 To The Modern Times (UPSC CSE Edition)","Brijesh Singh","Unknown","40.5"
"126","History of Technology Volume 10","Norman Smith","History","234.0"
"127","Mediated Ideologies: Nordic Views on the History of the Press and Media Cultures","Jukka Kortti","Social Science","142.0"
"128","The History of Great Britain","Anne B. Rodrick","History","63.0"
"129","Jesus","W. Barnes Tatum","Religion","31.0"
"130","Truth","Felipe Fernndez-Armesto","Philosophy","3.99"
"131","America and Iran","John Ghazvinian","History","11.99"
"132","Gunpowder, Explosives and the State","Brenda J. Buchanan","History","56.99"
"133","When History Is Personal","Mimi Schwartz","Biography & Autobiography","19.95"
"134","Voice and Vision","Stephen J. Pyne","Language Arts & Disciplines","32.0"
"135","Technologies of Consumer Labor","Michael Palm","Technology & Engineering","66.99"
"136","A History of Energy Flows","Anthony N. Penna","Nature","58.99"
"137","The National Pastime: A Review of Baseball History","Edited by John Thorn","Sports & Recreation","9.99"
"138","African Indigenous Knowledge and the Sciences","Gloria Emeagwali","Education","39.99"
"139","Text Analysis for the Social Sciences","Carl W. Roberts","Language Arts & Disciplines","66.99"
"140","Success with STEM","Sue Howarth","Education","48.95"
"141","Thomas Seebohm on the Foundations of the Sciences","Thomas Nenon","Philosophy","99.0"
"142","Writing, Grades 5 - 8","Barden","Juvenile Nonfiction","13.99"
"143","McGraw-Hill Education Preparation for the GED Test 2nd Edition","McGraw Hill Editores","Study Aids","19.8"
"144","In Defence of Science","Jack W. Grove","Science","32.95"
"145","The Birth of Science","Alex Ely Kossovsky","Science","37.99"
"146","Secure Coding in C and C++","Robert C. Seacord","Computers","61.99"
"147","Certifiable Software Applications 3","Jean-Louis Boulanger","Computers","130.0"
"148","LabVIEW Graphical Programming","Gary W. Johnson","Technology & Engineering","72.0"
"149","Data Science for Business","Foster Provost","Computers","33.99"
"150","Data Science","John D. Kelleher","Computers","13.99"
"151","Doing Data Science","Cathy ONeil","Computers","38.99"
"152","A Friendly Guide to Data Science","Kelly P. Vincent","Computers","44.99"
"153","Foundations of Data Science","Avrim Blum","Computers","57.99"
"154","Data Science from Scratch","Joel Grus","Computers","50.99"
"155","Targeted Learning in Data Science","Mark J. van der Laan","Mathematics","89.0"
"156","The Data Science Design Manual","Steven S. Skiena","Computers","64.99"
"157","The Data Science Handbook","Field Cady","Computers","60.0"
"158","Data Science and Analytics (with Python, R and SPSS Programming)","V.K. Jain","Computers","3.37"
"159","A Hands-On Introduction to Data Science","Chirag Shah","Computers","57.99"
"160","Data Science and Big Data Analytics","EMC Education Services","Computers","50.0"
"161","Data Science in Practice","Alan Said","Computers","129.0"
"162","The Data Science Workshop","Anthony So","Computers","29.99"
"163","Python for Data Science For Dummies","John Paul Mueller","Computers","21.0"
"164","Data Science Programming All-in-One For Dummies","John Paul Mueller","Computers","27.0"
"165","Big Data and Data Science","Dhaanyalakshmi Ahuja","Computers","29.99"
"166","Introduction to Data Science","Laura Igual","Computers","49.99"
"167","Data Science and Data Analytics","Amit Kumar Tyagi","Computers","56.99"
"168","The Essentials of Data Science: Knowledge Discovery Using R","Graham J. Williams","Business & Economics","210.0"
"169","Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions","Matt Taddy","Business & Economics","39.6"
"170","Data Science: New Issues, Challenges and Applications","Gintautas Dzemyda","Computers","169.0"
"171","A Tour of Data Science","Nailong Zhang","Computers","66.99"
"172","Digital Government and Achieving E-Public Participation: Emerging Research and Opportunities","Rodrguez Bolvar","Political Science","205.0"
"173","Predictive Analytics with Microsoft Azure Machine Learning 2nd Edition","Valentine Fontama","Computers","79.99"
"174","Understanding Cybersecurity Management in FinTech","Gurdip Kaur","Business & Economics","64.99"
"175","Embedding Artificial Intelligence into ERP Software","Siar Sarferaz","Computers","54.99"
"176","Applying Computational Intelligence for Social Good","Unknown","Mathematics","182.0"
"177","R PROGRAMMING","Dr.R.GOPINATH","Computers","6.2"
"178","Connected, Intelligent, Automated","Nicole Radziwill","Technology & Engineering","60.0"
"179","The AI Marketing Playbook","Mark Lamplugh","Computers","44.99"
"180","New Perspectives and Challenges in Econophysics and Sociophysics","Frdric Abergel","Science","129.0"
"181","Research Methods in Learning Design and Technology","Enilda Romero-Hall","Education","55.99"
"182","Next Generation Information Processing System","Prachi Deshpande","Technology & Engineering","159.0"
"183","GEOSPATIAL AI","DR. VINAY KUMAR GADDAM","Computers","3.37"
"184","Intelligent Systems Design and Applications","Ajith Abraham","Technology & Engineering","209.0"
"185","Intellectual Property and Emerging Technologies","Tshimanga Kongolo","Law","56.99"
"186","Technology Made Simple for the Technical Recruiter, Second Edition","Obi Ogbanufe","Computers","3.99"
"187","Data Science for Supply Chain Forecasting","Nicolas Vandeput","Business & Economics","54.99"
"188","Data Science for Financial Econometrics","Nguyen Ngoc Thach","Computers","209.0"
"189","LLCs & International Trade: Exporting & Importing Your Products","Margarito Ford","Business & Economics","3.76"
"190","Revenue Administration Handbook","Ral Flix Junquera-Varela","Business & Economics","49.99"
"191","Data Science and Social Research","N. Carlo Lauro","Social Science","169.0"
"192","Optimization for Data Analysis","Stephen J. Wright","Mathematics","49.99"
"193","ICT and Data Sciences","Archana Singh","Computers","69.99"
"194","Applied Machine Learning","M. Gopal","Technology & Engineering","63.0"
"195","An Introduction to Machine Learning","Gopinath Rebala","Technology & Engineering","149.0"
"196","Machine Learning: Concepts, Methodologies, Tools and Applications","Management Association","Computers","1755.0"
"197","A Practical Approach for Machine Learning and Deep Learning Algorithms","Abhishek Kumar Pandey","Computers","9.95"
"198","Machine Learning","Balas K. Natarajan","Computers","72.95"
"199","Hands-On Machine Learning with R","Brad Boehmke","Business & Economics","115.0"
"200","Machine Learning and Artificial Intelligence","Ameet V Joshi","Technology & Engineering","89.99"
"201","Grokking Machine Learning","Luis Serrano","Computers","43.99"
"202","Practical Machine Learning","Sunila Gollapudi","Computers","41.99"
"203","Machine Learning for Business","Doug Hudgeon","Computers","27.99"
"204","Machine Learning and Data Mining","Igor Kononenko","Computers","102.0"
"205","Machine Learning Algorithms","Giuseppe Bonaccorso","Mathematics","43.99"
"206","Human and Machine Learning","Jianlong Zhou","Computers","69.99"
"207","Machine Learning in Finance","Matthew F. Dixon","Business & Economics","89.99"
"208","Scala Machine Learning Projects","Md. Rezaul Karim","Computers","39.99"
"209","Machine Learning and Its Applications","Georgios Paliouras","Computers","54.99"
"210","Machine Learning - A Journey To Deep Learning: With Exercises And Answers","Andreas Miroslaus Wichert","Computers","134.0"
"211","Artificial Intelligence and Machine Learning with R","Bernd Heesen","Computers","49.99"
"212","Lifelong Machine Learning, Second Edition","Zhiyuan Chen","Computers","69.99"
"213","An Introduction to Artificial Intelligence and Machine Learning","Manikandan Paneerselvam","Unknown","26.91"
"214","Patterns, Predictions, and Actions","Moritz Hardt","Computers","65.0"
"215","Hands-On Unsupervised Learning Using Python","Ankur A. Patel","Computers","67.99"
"216","An Introduction to Electronic Warfare; from the First Jamming to Machine Learning Techniques","Chi-Hao Cheng","Science","58.5"
"217","Sustainable Farming through Machine Learning","Suneeta Satpathy","Technology & Engineering","130.0"
"218","Machine Learning for Biomedical Applications","Maria Deprez","Computers","74.95"
"219","Machine Learning in Cyber Trust","Jeffrey J. P. Tsai","Computers","159.0"
"220","Machine Learning for Societal Improvement, Modernization, and Progress","Pendyala","Computers","255.0"
"221","Personalized Machine Learning","Julian McAuley","Computers","49.99"
"222","Thinking Machines","Shigeyuki Takano","Computers","99.95"
"223","Machine Learning and AI in Finance","German Creamer","Business & Economics","55.99"
"224","Skin Cancer: A Comprehensive Guide","Keyvan Nouri","Medical","290.0"
"225","Modern Approaches in Machine Learning & Cognitive Science: A Walkthrough","Vinit Kumar Gunjan","Technology & Engineering","189.0"
"226","Biomedical and Business Applications Using Artificial Neural Networks and Machine Learning","Segall","Computers","255.0"
"227","Machine Learning for Hackers","Drew Conway","Computers","42.99"
"228","Machine Learning with Dynamics 365 and Power Platform","Aurelien Clere","Computers","30.0"
"229","Distributed Machine Learning Patterns","Yuan Tang","Computers","43.99"
"230","3D Point Cloud Analysis","Shan Liu","Computers","119.0"
"231","Hyperspectral Image Analysis","Saurabh Prasad","Computers","159.0"
"232","Evolutionary Approach to Machine Learning and Deep Neural Networks","Hitoshi Iba","Computers","159.0"
"233","Taste of Home Cooking for Two","Taste of Home","Cooking","12.99"
"234","Kitchen Simple","James Peterson","Cooking","11.99"
"235","Cooking Slow","Andrew Schloss","Cooking","17.99"
"236","Cooking Meat","Peter Sanagan","Cooking","18.99"
"237","Cooking with Nonna","Rossella Rago","Cooking","30.0"
"238","Recipes for a Lifetime of Beautiful Cooking","Danielle Alvarez","Cooking","23.14"
"239","The Chinese Takeout Cookbook","Diana Kuan","Cooking","4.99"
"240","Cooking with Texas Highways","Nola McKey","Cooking","17.99"
"241","The Complete Book of Japanese Cooking","Elisabeth Lambert Ortiz","Cooking","9.99"
"242","Slow Cooker Central Kids","Paulene Christie","Cooking","7.99"
"243","Live to Eat","Michael Psilakis","Cooking","15.99"
"244","Chicken 101","Kate DeVivo","Cooking","8.99"
"245","Cooking the Indian Way","Vijay Madavan","Juvenile Nonfiction","25.32"
"246","The SAGE International Encyclopedia of Travel and Tourism","Linda L. Lowry","Business & Economics","548.0"
"247","Managing Tourism and Hospitality Services","B. Prideaux","Hospitality industry","150.0"
"248","The Emerald Handbook of ICT in Tourism and Hospitality","Azizul Hassan","Business & Economics","221.99"
"249","The Theory of the Arts","Francis Edward Sparshott","Art","132.0"
"250","Visual Arts in the Worshiping Church","Lisa DeBoer","Religion","31.99"
"251","Notes on Participatory Art","Gustaf Almenberg","Art","8.99"
"252","Fables Vol. 20: Camelot","Bill Willingham","Comics & Graphic Novels","12.99"
"253","Donatello and the Dawn of Renaissance Art","A. Victor Coonin","Art","22.5"
"254","Simply Poetry","Veronica Jones","Poetry","3.99"
"255","The News from Poems","Jeffrey Gray","Literary Criticism","39.95"
"256","Selected Poetry","John Hollander","Poetry","14.99"
"257","The Best American Poetry 2007","David Lehman","Poetry","14.99"
"258","Modern Nicaraguan Poetry","Steven F. White","Literary Criticism","32.5"
"259","Farther Traveler","Ronaldo Wilson","Poetry","22.0"
"260","The Wind Shifts","Francisco Aragn","Poetry","24.95"
"261","Prodigious Love Penned in Poetry","Salvador DeLaRosa","Poetry","5.0"
"262","Verse and Virtuosity","Janie Steen","Language Arts & Disciplines","100.0"
"263","Modern Poets and Poetry of Spain","Francisco Martnez de la Rosa","Poetry","0.99"
"264","Stand in the Trench, Achilles","Elizabeth Vandiver","Literary Criticism","59.99"
"265","Ancient Philosophy","Daniel W. Graham","Philosophy","30.0"
"266","Insights and Oversights of Great Thinkers","Charles Hartshorne","Philosophy","36.95"
"267","An Introductory Philosophy of Medicine","James A. Marcum","Medical","239.0"
"268","Thinking about Thinking","Adriaan Theodoor Peperzak","Philosophy","68.0"
"269","A ^ABrief History of the Philosophy of Time","Adrian Bardon","Philosophy","32.99"
"270","A Brief History of Modern Philosophy","Harald Hffding","Philosophy","1.99"
"271","The Routledge History of Chinese Philosophy","Bo Mou","Philosophy","72.99"
"272","Is Philosophy Dispensable?","Nicholas Rescher","Philosophy","140.99"
"273","Physics, Philosophy, and the Scientific Community","K. Gavroglu","Science","159.0"
"274","Philosophy and the Novel","Alan H. Goldman","Philosophy","33.99"
"275","Philosophy of Perception","William Fish","Philosophy","56.99"
"276","Intercultural Philosophy","Ram Adhar Mall","Social Science","45.0"
"277","Informal Philosophy","Avrum Stroll","Philosophy","71.0"
"278","Philosophy without Foundations","William Maker","Philosophy","34.95"
"279","Erotic Wisdom","Gary Alan Scott","Philosophy","34.95"
"280","X-Men and Philosophy","William Irwin","Philosophy","16.0"
"281","A Companion to Political Philosophy. Methods, Tools, Topics","Antonella Besussi","Philosophy","63.99"
"282","In the Shadow of Descartes","G.H. Von Wright","Philosophy","99.0"
"283","The Consolation of Philosophy of Boethius","Boethius","Philosophy","1.15"
"284","Romanticism, Philosophy, and Literature","Michael N. Forster","Philosophy","129.0"
"285","A History of Western Philosophy of Education in the Modern Era","Andrea R. English","Education","32.35"
"286","Kenneth Burke and the Conversation After Philosophy","Timothy W. Crusius","Language Arts & Disciplines","29.5"
"287","Between Philosophy and Literature","Daphna Erdinast-Vulcan","Philosophy","28.0"
"288","Critical Philosophy of Innovation and the Innovator","Xavier Pavie","Philosophy","142.0"
"289","Contemporary Japanese Philosophy","John W. M. Krummel","Philosophy","50.4"
"290","Rethinking the Individualism-Holism Debate","Julie Zahle","Philosophy","129.0"
"291","Unlimit","Greg Bird","Philosophy","18.99"
"292","Communication and Expression","Philip Hogh","Philosophy","55.8"
"293","Jean-Luc Nancy and the Thinking of Otherness","Daniele Rugo","Literary Criticism","46.75"
"294","Aesthetics on the Edge","Dominic McIver Lopes","Philosophy","53.19"
"295","Philosophy Of Law","Jeffrie G. Murphy","Philosophy","66.99"
"296","Readings in the Philosophy of Technology","David M. Kaplan","Philosophy","104.4"
"297","Philosophy and Cognitive Science","Lorenzo Magnani","Science","209.0"
"298","Hannah Arendt and Martin Heidegger","Paulina Sosnowska","Philosophy","37.79"
"299","Clinical Psychology","C. Eugene Walker","Psychology","159.0"
"300","Peace Psychology in Asia","Cristina Jayme Montiel","Psychology","209.0"
"301","5 Steps to a 5 AP Psychology 2018 edition","Laura Lincoln Maitland","Study Aids","16.2"
"302","Science as Psychology","Lisa M. Osbeck","Psychology","46.99"
"303","The Task of Gestalt Psychology","Wolfgang Kohler","Psychology","39.0"
"304","The New Psychology of Winning","Denis Waitley","Self-Help","12.98"
"305","Real World Psychology","Catherine A. Sanderson","Psychology","119.5"
"306","Handbook of Social Psychology","Jan E. Stets","Social Science","199.0"
"307","Educational Psychology","Jennifer L. Martin","Education","67.5"
"308","Radical Psychology","Don Coyhis","Psychology","46.79"
"309","Moral Psychology with Nietzsche","Brian Leiter","Philosophy","21.69"
"310","The Wiley Handbook of Developmental Psychology in Practice","Kevin Durkin","Psychology","175.0"
"311","Radical Ecopsychology","Andy Fisher","Psychology","33.95"
"312","The Wiley Handbook of the Psychology of Mass Shootings","Laura C. Wilson","Psychology","175.0"
"313","Who Fights for Reputation","Keren Yarhi-Milo","Political Science","41.0"
"314","A Source Book Of Gestalt Psychology","Willis D Ellis","Medical","71.99"
"315","Spiritual Intelligence","Raymond F. Paloutzian","Psychology","22.95"
"316","Psychology in the Courts","Raymond R. Corrado","Law","66.99"
"317","Psychology and the Perennial Philosophy","Samuel Bendeck Sotillos","Psychology","9.99"
"318","The Oxford Handbook of Evolutionary Family Psychology","Catherine Salmon","Psychology","179.99"
"319","The Belief Instinct","Jesse Bering","Psychology","22.75"
"320","Social Psychology","Carol Brown","Psychology","37.0"
"321","Principles of Health Education and Promotion","Randall R. Cottrell","Health & Fitness","83.95"
"322","Sport Business in the United States","Brenda G. Pitts","Sports & Recreation","55.99"
"323","Sports Analytics: A Guide For Coaches, Managers And Other Decision Makers","Dr. Yajuvendra Singh Rajpoot","Sports & Recreation","84.99"
"324","Adams Businesses You Can Start Almanac","Adams Media","Business & Economics","2.99"
"325","NSCAs Essentials of Personal Training","NSCA -National Strength & Conditioning Association","Sports & Recreation","89.0"
"326","HowExpert Guide to Health and Fitness","HowExpert","Health & Fitness","9.99"
"327","Formulating Pharma-, Nutra-, and Cosmeceutical Products from Herbal Substances","Anupama Singh","Medical","239.0"
"328","Jesusland","Joelle Kidd","Social Science","13.99"
"329","Feminist Perspectives on Law and Literature","Laura Schmitz-Justen","Literary Criticism","129.99"
"330","Indie Author Confidential 15","M.L. Ronn","Language Arts & Disciplines","4.99"
"331","The European Bookshop Business Model","David Piovesan","Language Arts & Disciplines","28.99"
"332","Physics Today Monthly Magazine (December edition) 2023 for JEE, NEET, CBSE, OLYMPIADS and other competitive exams","MTG Learning Media","Study Aids","1.13"
"333","Meurtres, best-sellers et petits-fours","Camille Lagarde","Literary Collections","7.04"
"334","Navigating the Self-Service Revolution With Smart Machines","Verma","Business & Economics","225.0"
"335","The Braking Mechanism in Mao-era Politics","Jia Gao","Political Science","56.99"
"336","Flores partidas | nova edio do best-seller de Karin Slaughter","Karin Slaughter","Fiction","7.99"
"337","Writing Irresistible First Pages","Mary Kole","Language Arts & Disciplines","9.99"
"338","Media & Entertainment Law","Ursula Smartt","Law","61.99"
"339","The Art, Science, and Craft of Great Landscape Photography, Third Edition","Glenn Randall","Photography","35.99"
"340","The Real Charlie Kirk","Dick Morris","Biography & Autobiography","19.99"
"341","When Gavin Met Stacey and Everything in Between","Ruth Jones","Biography & Autobiography","31.81"
"342","The Best American Short Stories 2024","Lauren Groff","Fiction","12.99"
"343","A Very Private School","Charles Spencer","Biography & Autobiography","14.99"
"344","Long Island (Oprahs Book Club)","Colm Toibin","Fiction","13.99"
"345","Small Things Like These (Oprahs Book Club)","Claire Keegan","Fiction","20.0"
"346","The Best Short Stories 2024","Amor Towles","Fiction","12.99"
"347","Ask Not","Maureen Callahan","Biography & Autobiography","15.99"
"348","Munich Wolf","Rory Clements","Fiction","5.99"
"349","The Best American Essays 2024","Wesley Morris","Language Arts & Disciplines","12.99"
"350","Construction Site: Garbage Crew to the Rescue!","Sherri Duskey Rinker","Juvenile Fiction","11.99"
"351","How to Win the Premier League","Ian Graham","Sports & Recreation","13.99"
"352","The New Couple in 5B","Lisa Unger","Fiction","15.99"
"353","Flamboyants","George M. Johnson","Young Adult Nonfiction","10.99"
"354","What a Fool Believes","Michael McDonald","Music","12.99"
"355","First Gen","Alejandra Campoverdi","Biography & Autobiography","14.99"
"356","Iris Apfel: Colorful","Iris Apfel","Biography & Autobiography","31.1"
"357","I Havent Been Entirely Honest with You","Miranda Hart","Biography & Autobiography","13.99"
"358","The Summer Getaway","Susan Mallery","Fiction","19.49"
"359","The Diary of a Sugarbaby","J. Q. Gagliastro","Fiction","16.99"
"360","The Women","Kristin Hannah","Fiction","14.99"
"361","The Story Collector","Evie Woods","Fiction","14.99"
"362","Hugh Johnson Pocket Wine 2024","Hugh Johnson","Cooking","7.99"
"363","Paradise Now","William Middleton","Design","23.99"
"364","Sisterhood of Dune","Brian Herbert","Fiction","9.99"
"365","The World Almanac and Book of Facts 2025","Sarah Janssen","Reference","12.99"
"366","Reading Audio Readers","Karl Berglund","Literary Criticism","35.95"
"367","Paper Time Machines","Maurice W. Suckling","Games & Activities","63.99"
"368","Curating Community Collections","Mary Schreiber","Language Arts & Disciplines","61.15"
"369","Scripting","Rheinwerk Publishing","Computers","44.99"
"370","Storm of the Century","Stephen King","Fiction","11.99"
"371","The Best American Mystery and Suspense 2024","S.A. Cosby","Fiction","12.99"
