"order_id","member_id","book_id","order_date","quantity","order_status"
"205","6","485","2024-01-20","2","Delivered"
"206","15","50","2024-04-30","3","Delivered"
"207","50","233","2024-07-08","3","Returned"
"208","70","215","2024-10-27","3","Returned"
"209","20","454","2024-07-31","3","Delivered"
"210","63","316","2024-07-27","2","Delivered"
"211","48","112","2024-08-15","2","Delivered"
"212","47","51","2024-12-17","2","Cancelled"
"213","46","32","2024-07-22","2","Delivered"
"214","16","486","2024-08-20","1","Returned"
"215","28","329","2024-11-23","3","Delivered"
"216","7","403","2024-06-19","1","Delivered"
"217","73","106","2024-02-05","3","Delivered"
"218","76","111","2024-04-29","2","Delivered"
"219","77","2","2024-05-21","1","Delivered"
"220","70","129","2024-03-30","1","Returned"
"221","4","68","2024-01-08","2","Delivered"
"222","76","166","2024-01-09","1","Delivered"
"223","7","65","2024-08-03","3","Delivered"
"224","9","244","2024-08-17","2","Cancelled"
"225","76","56","2024-08-19","3","Delivered"
"226","79","23","2024-12-03","3","Delivered"
"227","59","330","2024-01-16","1","Delivered"
"228","52","219","2024-12-17","1","Delivered"
"229","57","38","2024-02-11","2","Cancelled"
"230","19","34","2024-03-05","2","Cancelled"
"231","75","281","2024-12-30","2","Delivered"
"232","77","272","2024-05-30","2","Cancelled"
"233","78","221","2024-02-20","3","Delivered"
"234","71","370","2024-04-20","2","Delivered"
"235","30","212","2024-06-22","2","Delivered"
"236","54","374","2024-02-18","2","Delivered"
"237","41","341","2024-05-10","2","Delivered"
"238","61","35","2024-02-16","1","Delivered"
"239","56","50","2024-07-09","1","Cancelled"
"240","8","301","2024-10-14","3","Delivered"
"241","16","211","2024-06-30","3","Delivered"
"242","7","496","2024-05-27","3","Delivered"
"243","46","54","2024-10-22","3","Delivered"
"244","20","337","2024-09-03","1","Delivered"
"245","45","433","2024-10-11","2","Delivered"
"246","36","294","2024-04-25","2","Cancelled"
"247","80","315","2024-12-11","3","Cancelled"
"248","4","312","2024-12-02","3","Delivered"
"249","4","93","2024-05-19","3","Delivered"
"250","44","180","2024-01-04","1","Delivered"
"251","73","337","2024-07-24","1","Delivered"
"252","4","47","2024-09-28","1","Delivered"
"253","54","233","2024-06-23","1","Delivered"
"254","40","370","2024-06-15","3","Cancelled"
"255","11","453","2024-01-27","1","Delivered"
"256","80","26","2024-12-11","1","Delivered"
"257","57","339","2024-08-05","2","Cancelled"
"258","57","213","2024-05-19","1","Cancelled"
"259","15","177","2024-08-08","1","Delivered"
"260","76","250","2024-09-26","3","Delivered"
"261","6","113","2024-07-21","3","Delivered"
"262","1","105","2024-06-03","1","Delivered"
"263","33","149","2024-06-16","1","Delivered"
"264","64","383","2024-08-08","1","Delivered"
"265","49","273","2024-12-26","1","Cancelled"
"266","72","427","2024-12-08","2","Delivered"
"267","51","442","2024-01-22","2","Delivered"
"268","59","472","2024-02-09","2","Cancelled"
"269","55","294","2024-07-26","3","Returned"
"270","54","149","2024-02-28","2","Delivered"
"271","42","88","2024-11-12","2","Returned"
"272","47","46","2024-08-11","1","Delivered"
"273","56","302","2024-07-24","3","Delivered"
"274","51","446","2024-06-07","3","Delivered"
"275","29","171","2024-03-27","1","Cancelled"
"276","15","272","2024-09-18","1","Delivered"
"277","45","373","2024-11-26","1","Delivered"
"278","14","75","2024-05-11","1","Delivered"
"279","78","79","2024-12-01","1","Delivered"
"280","64","238","2024-10-15","3","Delivered"
"281","73","330","2024-11-21","3","Delivered"
"282","41","78","2024-08-13","1","Delivered"
"283","57","324","2024-06-04","2","Cancelled"
"284","8","181","2024-09-16","1","Delivered"
"285","60","232","2024-01-20","1","Delivered"
"286","37","40","2024-11-26","1","Cancelled"
"287","77","260","2024-07-15","2","Cancelled"
"288","71","489","2024-01-22","2","Cancelled"
"289","25","165","2024-11-05","2","Cancelled"
"290","20","491","2024-02-01","2","Delivered"
"291","44","366","2024-02-13","3","Returned"
"292","23","21","2024-05-06","3","Delivered"
"293","57","269","2024-09-24","3","Delivered"
"294","47","191","2024-05-24","2","Delivered"
"295","44","348","2024-11-02","1","Returned"
"296","43","34","2024-06-17","1","Cancelled"
"297","50","146","2024-05-09","3","Returned"
"298","78","448","2024-03-17","2","Delivered"
"299","75","340","2024-03-13","2","Delivered"
"300","51","67","2024-10-31","3","Delivered"
"301","40","287","2024-07-11","3","Delivered"
"302","17","344","2024-12-25","3","Returned"
"303","68","48","2024-11-26","3","Delivered"
"304","66","186","2024-01-10","2","Delivered"
"305","24","487","2024-04-19","2","Delivered"
"306","25","116","2024-03-11","1","Delivered"
"307","38","433","2024-02-21","3","Cancelled"
"308","68","20","2024-12-04","2","Cancelled"
"309","17","306","2024-07-11","1","Delivered"
"310","24","426","2024-12-20","3","Delivered"
"311","57","23","2024-07-29","2","Returned"
"312","31","497","2024-08-15","3","Delivered"
"313","58","120","2024-09-30","1","Delivered"
"314","61","463","2024-04-09","2","Returned"
"315","74","226","2024-08-24","2","Delivered"
"316","65","271","2024-08-02","1","Delivered"
"317","78","71","2024-05-08","1","Returned"
"318","62","448","2024-07-09","3","Delivered"
"319","67","436","2024-03-04","2","Delivered"
"320","21","140","2024-08-18","3","Delivered"
"321","56","47","2024-04-23","2","Delivered"
"322","4","213","2024-01-28","2","Cancelled"
"323","48","121","2024-07-16","1","Delivered"
"324","29","15","2024-06-12","1","Returned"
"325","43","406","2024-03-15","1","Delivered"
"326","37","470","2024-08-29","3","Delivered"
"327","61","230","2024-11-11","1","Delivered"
"328","3","132","2024-04-20","1","Cancelled"
"329","78","271","2024-08-04","1","Delivered"
"330","31","155","2024-03-03","1","Delivered"
"331","54","328","2024-11-14","2","Delivered"
"332","15","429","2024-09-12","3","Cancelled"
"333","3","324","2024-09-20","3","Delivered"
"334","19","150","2024-08-07","1","Cancelled"
"335","46","124","2024-10-19","2","Delivered"
"336","11","269","2024-07-03","1","Cancelled"
"337","70","260","2024-09-16","3","Delivered"
"338","50","448","2024-08-28","1","Returned"
"339","50","192","2024-05-09","3","Delivered"
"340","46","404","2024-02-04","2","Delivered"
"341","14","396","2024-10-24","3","Delivered"
"342","18","23","2024-06-29","3","Delivered"
"343","23","426","2024-12-16","2","Returned"
"344","62","324","2024-04-03","1","Delivered"
"345","59","19","2024-05-30","1","Delivered"
"346","26","454","2024-01-22","2","Delivered"
"347","66","204","2024-10-05","2","Delivered"
"348","5","386","2024-11-27","1","Delivered"
"349","46","442","2024-01-25","3","Delivered"
"350","35","64","2024-07-07","2","Delivered"
"351","57","459","2024-07-16","2","Delivered"
"352","64","355","2024-09-11","2","Cancelled"
"353","35","411","2024-02-12","3","Delivered"
"354","11","221","2024-11-04","1","Cancelled"
"355","38","165","2024-02-22","1","Delivered"
"356","38","157","2024-08-16","3","Returned"
"357","55","86","2024-12-19","2","Delivered"
"358","58","22","2024-06-29","3","Delivered"
"359","36","328","2024-01-30","1","Returned"
"360","52","187","2024-09-19","3","Returned"
"361","21","488","2024-01-16","1","Cancelled"
"362","57","18","2024-03-05","1","Delivered"
"363","47","186","2024-07-15","3","Delivered"
"364","78","79","2024-12-13","2","Delivered"
"365","48","228","2024-02-09","3","Delivered"
"366","68","188","2024-07-22","2","Returned"
"367","36","128","2024-02-28","1","Returned"
"368","24","256","2024-09-22","2","Cancelled"
"369","16","135","2024-05-13","3","Delivered"
"370","28","314","2024-05-26","3","Delivered"
"371","26","63","2024-03-10","1","Delivered"
"372","23","461","2024-08-15","1","Returned"
"373","41","342","2024-06-26","3","Delivered"
"374","71","278","2024-05-28","2","Delivered"
"375","23","407","2024-07-04","3","Delivered"
"376","16","103","2024-03-12","1","Delivered"
"377","4","185","2024-10-10","3","Delivered"
"378","60","412","2024-10-09","1","Cancelled"
"379","12","34","2024-06-07","2","Returned"
"380","62","270","2024-07-29","2","Cancelled"
"381","10","65","2024-06-11","3","Delivered"
"382","58","239","2024-12-14","3","Delivered"
"383","17","450","2024-10-09","3","Cancelled"
"384","24","394","2024-03-07","2","Cancelled"
"385","8","426","2024-03-04","3","Delivered"
"386","39","85","2024-03-23","2","Returned"
"387","29","178","2024-09-22","2","Delivered"
"388","33","101","2024-11-21","3","Delivered"
"389","17","321","2024-06-04","3","Cancelled"
"390","12","258","2024-11-24","1","Cancelled"
"391","75","79","2024-03-28","3","Cancelled"
"392","78","173","2024-10-15","1","Delivered"
"393","11","24","2024-11-24","3","Delivered"
"394","27","393","2024-10-19","2","Cancelled"
"395","4","255","2024-11-17","3","Delivered"
"396","39","248","2024-05-05","3","Delivered"
"397","39","233","2024-02-07","3","Delivered"
"398","21","226","2024-07-31","2","Delivered"
"399","27","175","2024-11-06","1","Delivered"
"400","41","376","2024-06-25","2","Delivered"
"401","48","264","2024-10-14","1","Delivered"
"402","31","239","2024-03-03","2","Delivered"
"403","32","73","2024-02-19","1","Delivered"
"404","50","443","2024-11-11","2","Delivered"
"405","21","417","2024-06-16","3","Returned"
"406","41","98","2024-03-22","2","Cancelled"
"407","60","256","2024-06-06","2","Delivered"
"408","12","484","2024-07-20","3","Delivered"
"409","31","111","2024-10-25","2","Delivered"
"410","7","145","2024-09-10","3","Returned"
"411","61","147","2024-10-01","1","Delivered"
"412","56","69","2024-05-15","3","Delivered"
"413","52","188","2024-01-24","2","Delivered"
"414","73","288","2024-04-09","2","Cancelled"
"415","37","38","2024-07-16","3","Delivered"
"416","71","144","2024-11-15","3","Cancelled"
"417","16","66","2024-02-19","2","Delivered"
"418","44","286","2024-07-06","1","Delivered"
"419","78","261","2024-07-24","3","Delivered"
"420","6","20","2024-03-11","3","Delivered"
"421","61","266","2024-08-21","1","Cancelled"
"422","66","72","2024-06-16","3","Delivered"
"423","21","202","2024-11-11","3","Delivered"
"424","76","173","2024-09-16","3","Cancelled"
"425","63","363","2024-10-15","2","Delivered"
"426","3","189","2024-06-18","3","Delivered"
"427","54","299","2024-06-06","3","Returned"
"428","4","306","2024-08-30","2","Returned"
"429","75","296","2024-04-26","3","Delivered"
"430","75","246","2024-03-28","3","Returned"
"431","80","397","2024-07-13","1","Returned"
"432","32","17","2024-10-20","3","Delivered"
"433","25","10","2024-08-13","2","Delivered"
"434","20","212","2024-12-19","1","Delivered"
"435","65","397","2024-11-09","2","Returned"
"436","8","362","2024-03-11","3","Delivered"
"437","72","167","2024-12-05","2","Cancelled"
"438","49","161","2024-03-29","2","Cancelled"
"439","44","280","2024-06-30","3","Returned"
"440","34","313","2024-09-04","1","Delivered"
"441","36","286","2024-06-01","1","Delivered"
"442","37","361","2024-04-16","3","Returned"
"443","63","163","2024-09-02","2","Cancelled"
"444","36","148","2024-03-03","3","Returned"
"445","70","195","2024-07-21","2","Delivered"
"446","38","22","2024-05-27","3","Delivered"
"447","45","474","2024-08-14","3","Delivered"
"448","62","110","2024-04-13","3","Delivered"
"449","72","357","2024-05-19","1","Delivered"
"450","79","380","2024-10-27","1","Delivered"
"451","7","343","2024-09-28","1","Returned"
"452","30","27","2024-02-21","2","Delivered"
"453","61","52","2024-12-14","1","Delivered"
"454","71","476","2024-03-21","2","Returned"
"455","61","245","2024-11-29","1","Delivered"
"456","42","147","2024-11-26","1","Delivered"
"457","74","119","2024-09-30","3","Returned"
"458","5","468","2024-03-30","2","Delivered"
"459","5","429","2024-07-22","2","Delivered"
"460","38","449","2024-01-20","1","Delivered"
"461","73","309","2024-02-24","2","Delivered"
"462","59","329","2024-10-05","3","Delivered"
"463","18","436","2024-09-15","2","Delivered"
"464","25","415","2024-02-27","2","Delivered"
"465","59","332","2024-05-11","3","Delivered"
"466","2","378","2024-06-21","2","Cancelled"
"467","25","90","2024-11-08","3","Delivered"
"468","55","264","2024-06-16","1","Delivered"
"469","13","95","2024-03-12","2","Delivered"
"470","32","4","2024-05-13","2","Delivered"
"471","58","386","2024-05-16","2","Delivered"
"472","75","371","2024-10-20","1","Delivered"
"473","47","355","2024-04-30","1","Returned"
"474","16","239","2024-06-06","1","Delivered"
"475","65","473","2024-12-26","2","Returned"
"476","16","328","2024-05-31","2","Cancelled"
"477","29","113","2024-03-09","2","Delivered"
"478","59","383","2024-11-06","2","Delivered"
"479","71","468","2024-08-29","3","Returned"
"480","28","391","2024-05-06","3","Cancelled"
"481","11","270","2024-08-16","3","Returned"
"482","47","40","2024-10-15","1","Delivered"
"483","71","463","2024-09-15","1","Cancelled"
"484","69","77","2024-03-25","2","Cancelled"
"485","57","60","2024-12-14","1","Returned"
"486","75","251","2024-02-16","3","Delivered"
"487","8","233","2024-03-08","3","Delivered"
"488","59","289","2024-01-30","3","Delivered"
"489","40","371","2024-01-12","2","Delivered"
"490","1","382","2024-04-21","3","Delivered"
"491","6","217","2024-06-25","3","Delivered"
"492","70","31","2024-02-05","2","Delivered"
"493","37","210","2024-04-02","1","Returned"
"494","54","192","2024-07-14","2","Delivered"
"495","49","42","2024-12-15","3","Cancelled"
"496","18","335","2024-06-27","1","Delivered"
"497","69","202","2024-09-27","1","Returned"
"498","29","428","2024-01-02","1","Delivered"
"499","60","345","2024-10-05","2","Cancelled"
"500","49","422","2024-04-27","1","Delivered"
"501","45","80","2024-05-21","1","Returned"
"502","15","17","2024-12-04","2","Cancelled"
"503","3","124","2024-04-15","1","Delivered"
"504","77","18","2024-08-16","3","Returned"
"505","7","126","2024-01-23","2","Delivered"
"506","30","277","2024-04-21","1","Delivered"
"507","65","149","2024-04-29","3","Cancelled"
"508","41","296","2024-11-02","3","Delivered"
"509","31","155","2024-03-14","3","Cancelled"
"510","29","212","2024-06-02","2","Delivered"
"511","72","486","2024-10-29","3","Delivered"
"512","55","285","2024-09-10","1","Delivered"
"513","49","403","2024-09-25","2","Returned"
"514","54","210","2024-03-17","2","Delivered"
"515","24","387","2024-10-02","2","Delivered"
"516","29","154","2024-12-28","1","Delivered"
"517","8","288","2024-07-30","2","Cancelled"
"518","68","69","2024-07-17","1","Delivered"
"519","27","170","2024-11-27","1","Delivered"
"520","48","48","2024-10-01","3","Delivered"
"521","7","138","2024-07-12","3","Cancelled"
"522","78","21","2024-02-07","1","Cancelled"
"523","72","112","2024-09-02","1","Delivered"
"524","39","490","2024-01-08","1","Delivered"
"525","16","383","2024-09-02","1","Returned"
"526","78","361","2024-04-14","2","Delivered"
"527","71","165","2024-05-24","2","Delivered"
"528","69","333","2024-07-02","2","Delivered"
"529","47","263","2024-09-11","2","Delivered"
"530","61","390","2024-06-12","1","Delivered"
"531","41","212","2024-01-24","3","Delivered"
"532","19","9","2024-05-13","3","Cancelled"
"533","75","369","2024-08-01","2","Delivered"
"534","26","169","2024-04-27","2","Cancelled"
"535","32","256","2024-10-08","3","Returned"
"536","44","132","2024-09-07","3","Returned"
"537","63","236","2024-03-27","3","Delivered"
"538","22","72","2024-10-06","2","Delivered"
"539","70","329","2024-01-31","3","Delivered"
"540","10","484","2024-12-08","1","Delivered"
"541","53","71","2024-11-18","1","Delivered"
"542","20","5","2024-04-21","3","Delivered"
"543","48","31","2024-11-12","3","Returned"
"544","79","468","2024-09-04","3","Delivered"
"545","3","4","2024-09-29","3","Delivered"
"546","2","9","2024-09-28","3","Delivered"
"547","69","147","2024-01-09","3","Returned"
"548","56","413","2024-04-01","1","Delivered"
"549","68","77","2024-05-03","1","Cancelled"
"550","68","130","2024-06-30","2","Delivered"
"551","11","192","2024-07-26","2","Cancelled"
"552","32","357","2024-04-25","2","Returned"
"553","11","335","2024-11-28","1","Delivered"
"554","52","195","2024-07-12","3","Delivered"
"555","8","327","2024-01-05","3","Delivered"
"556","11","256","2024-08-10","3","Delivered"
"557","73","440","2024-02-18","3","Delivered"
"558","30","109","2024-12-20","3","Delivered"
"559","35","24","2024-02-08","3","Delivered"
"560","70","289","2024-12-02","1","Delivered"
"561","41","9","2024-04-16","3","Delivered"
"562","51","476","2024-02-09","2","Delivered"
"563","73","124","2024-10-17","2","Returned"
"564","70","170","2024-07-15","3","Delivered"
"565","11","257","2024-06-26","1","Delivered"
"566","56","119","2024-02-08","2","Cancelled"
"567","79","489","2024-10-31","2","Delivered"
"568","4","325","2024-05-19","2","Delivered"
"569","30","183","2024-10-10","2","Delivered"
"570","24","349","2024-10-26","3","Delivered"
"571","11","396","2024-11-12","2","Delivered"
"572","10","43","2024-05-17","1","Delivered"
"573","20","379","2024-07-18","2","Delivered"
"574","14","47","2024-01-03","2","Delivered"
"575","47","390","2024-05-18","1","Delivered"
"576","12","96","2024-08-08","2","Cancelled"
"577","72","263","2024-07-27","1","Delivered"
"578","12","182","2024-10-10","1","Cancelled"
"579","77","402","2024-06-15","2","Delivered"
"580","38","212","2024-07-17","1","Returned"
"581","72","464","2024-05-04","3","Cancelled"
"582","22","351","2024-07-13","1","Delivered"
"583","35","155","2024-05-17","2","Delivered"
"584","9","86","2024-08-10","2","Delivered"
"585","39","248","2024-02-09","2","Delivered"
"586","32","370","2024-11-16","2","Cancelled"
"587","79","101","2024-08-22","1","Delivered"
"588","39","4","2024-07-21","2","Cancelled"
"589","49","412","2024-06-17","2","Delivered"
"590","56","418","2024-11-29","3","Delivered"
"591","39","165","2024-11-04","3","Delivered"
"592","62","161","2024-03-31","2","Delivered"
"593","38","377","2024-12-21","3","Delivered"
"594","74","401","2024-05-04","2","Delivered"
"595","36","419","2024-07-20","2","Delivered"
"596","73","103","2024-10-30","3","Delivered"
"597","71","14","2024-08-24","3","Delivered"
"598","57","409","2024-05-29","3","Delivered"
"599","53","345","2024-09-12","1","Returned"
"600","39","124","2024-05-09","3","Delivered"
"601","55","405","2024-07-12","1","Delivered"
"602","77","246","2024-10-25","2","Cancelled"
"603","65","473","2024-12-20","2","Cancelled"
"604","5","405","2024-07-03","3","Cancelled"
"605","77","327","2024-02-13","1","Delivered"
"606","46","86","2024-11-27","3","Delivered"
"607","73","331","2024-12-12","3","Delivered"
"608","43","495","2024-08-08","1","Delivered"
"609","13","133","2024-04-23","3","Returned"
"610","67","286","2024-10-24","3","Cancelled"
"611","29","229","2024-07-10","2","Delivered"
"612","76","354","2024-09-13","1","Delivered"
"613","4","248","2024-02-23","2","Delivered"
"614","11","60","2024-03-13","2","Delivered"
"615","44","234","2024-04-15","3","Delivered"
"616","45","244","2024-02-19","2","Returned"
"617","58","164","2024-02-04","2","Delivered"
"618","15","12","2024-06-24","3","Delivered"
"619","22","477","2024-05-04","3","Delivered"
"620","71","82","2024-06-18","3","Delivered"
"621","60","119","2024-07-26","3","Delivered"
"622","24","328","2024-12-02","2","Delivered"
"623","4","378","2024-11-10","1","Delivered"
"624","76","220","2024-07-18","1","Returned"
"625","28","106","2024-05-22","3","Delivered"
"626","74","53","2024-10-01","1","Delivered"
"627","42","101","2024-08-22","1","Delivered"
"628","63","271","2024-11-23","2","Cancelled"
"629","50","313","2024-07-19","3","Delivered"
"630","45","181","2024-08-22","3","Delivered"
"631","39","471","2024-11-10","3","Delivered"
"632","18","161","2024-03-01","1","Delivered"
"633","15","94","2024-07-10","3","Delivered"
